Regione,Residenti,%Italia,Superficie (Kmq),%Italia,Densità per Kmq,Numero Comuni,Numero Province
Abruzzo,1.322.247,2.2%,10.795,3.6%,122.5,305,4
Basilicata,570.365,0.9%,9.995,3.3%,57.1,131,2
Calabria,1.965.128,3.2%,15.081,5.0%,130.3,409,5
Campania,5.839.084,9.6%,13.590,4.5%,429.7,550,5
Emilia-Romagna,4.448.841,7.3%,22.456,7.5%,198.1,334,9
Friuli-Venezia Giulia,1.217.872,2.0%,7.855,2.6%,155.0,216,4
Lazio,5.898.124,9.7%,17.208,5.7%,342.8,378,5
Liguria,1.565.307,2.6%,5.421,1.8%,288.8,235,4
Lombardia,10.018.806,16.5%,23.863,7.9%,419.8,1.527,12
Marche,1.538.055,2.5%,9.366,3.1%,164.2,234,5
Molise,310.449,0.5%,4.433,1.5%,70.0,136,2
Piemonte,4.392.526,7.2%,25.402,8.4%,172.9,1.202,8
Puglia,4.063.888,6.7%,19.371,6.4%,209.8,258,6
Sardegna,1.653.135,2.7%,24.089,8.0%,68.6,377,8
Sicilia,5.056.641,8.3%,25.703,8.5%,196.7,390,9
Toscana,3.742.437,6.2%,22.990,7.6%,162.8,279,10
Trentino-Alto Adige,1.062.860,1.8%,13.607,4.5%,78.1,293,2
Umbria,888.908,1.5%,8.456,2.8%,105.1,92,2
Valle d'Aosta,126.883,0.2%,3.263,1.1%,38.9,74,1
Veneto,4.907.529,8.1%,18.391,6.1%,266.8,576,7
Totale,60.589.085, ,301.335, , ,7.996,110
